# number | source | action sequence | controller / opponent feelings and attributes | gameplay hooks | mismatch or distinction
225|Odyssey 16 and 22|Recognise the father; plan together; bring the returning son into action.|Joy and resolve / coordinated danger|Haste for a helper; attacking permits a revealing return.|The shared version expresses cooperation, unlike Young Heir's personal growth.
226|Odyssey 12|Promise knowledge of Troy; draw the listener closer; feed on attention.|Allure / compulsion|Force one attacker; gain foresight from the approach.|Homeric knowledge-lure is the centre, distinct from later erotic imagery.
228|Odyssey 24|Reassemble the household; halt renewed revenge; establish peace.|Relief / violence checked|Restore a small permanent; ready survivors; tax further attacks.|The end is imposed peace after danger, not proof that all old grievances vanish.
229|Odyssey 8; Trojan-war tradition|Besiege the city; conceal warriors; enter by the horse.|Cunning triumph / disastrous trust|Saga preparation; transform into a Vehicle carrying another attacker.|Retain the sole DFC. The front is a Saga even if old layout metadata calls it a battle.
230|Odyssey 7 and 14; concept|Offer food before questions; accept a stranger; create reciprocal obligation.|Generosity / temptation|Gift creates reciprocal resources; life grows the household.|Gift is the declared hospitality mechanic, but requires common examples to be a headline theme.
231|Odyssey 11|Approach the blood; tell of betrayal at home; warn the living.|Bitterness / foreboding|Graveyard preparation; a return exacts a cost.|Current cast-versus-reanimated divide needs real recursion support and explicit fantasy framing.
232|Odyssey 11; imagined lament|Invite the dead; honour the rite; carry one memory into life.|Grief / uneasy recovery|Spirit; graveyard movement; small return.|Imagined performance. WB listeners can hear sacred duty or the price of communicating with death.
233|Odyssey 11; visual analogy|Witness Tityus restrained; see the birds punish him; move on.|Horror / helplessness|Tie exile to a vulnerable land enchantment.|Keep Oracle function; the reprint's rock-chain image is not a literal account of all details in Homer.
234|Odyssey 10|Receive an embassy; seize a man; turn a feast into an attack.|Predatory authority / panic|Consume resources; direct their value as damage; trample onward.|The giant king's appetite differs from the ordinary glutton's one-time threat.
235|Odyssey 10|Near home; suspect hidden wealth; open the wind bag; lose the route already won.|Envy / temptation / catastrophe|Offer temporary opportunity; release a burst of force; pay with enduring progress.|Candidate grants impulse access, then red mana, then land sacrifice. No real Treasure or crew-death wipe; Penelope can postpone the final cost. Land loss is an abstraction of the setback.
236|Odyssey 12|Approach the narrow passage; heads strike; six companions disappear.|Dread / abrupt loss|Multiple exposed targets; limited damage divided across them.|Red tapping in chapter one needs a colour-pie check; repeated weak damage does not automatically feel like six losses.
237|Odyssey 8; concept|Perform a brave act; have it sung; let renown outlast the moment.|Pride / pressure|Legendary attacks create temporary options.|Kleos is reputation earned through action, distinct from the storyteller's preservation of memory.
238|Odyssey 19 and 23; recognition pattern|Observe a sign; test identity; make the hidden person known.|Certainty / lost deception|Face-up and returning permanents draw a card.|Current phrase return after being exiled needs ordinary enters-from-exile templating; turn-face-up is separate.
239|Odyssey 23–24; rooted-home interpretation|Keep living roots; survive absence; support the returning household.|Continuity / resilience|Returnees accumulate roots; marked permanents gain protection.|Distinct from the crafted bed: this is the living foundation, not the recognition object.
240|Madeline Miller, Circe; adaptation brief|Learn through practice; turn craft into power; claim an independent life.|Self-possession / fear of transformation|Repeated spellcraft earns a transformation.|Use Miller's craft and agency framing; exact passage needed before quoting the novel.
241|Odyssey 9 and 17; identity interpretation|Conceal the name; move through danger; learn unseen.|Cunning / uncertainty|Hidden attackers evade and surveil; late mana creates another disguise.|This is the reusable UB engine, not another legendary Odysseus.
242|Odyssey 23–24; household synthesis|Recover people; restore possessions; hold the household against renewed loss.|Belonging / entrenched opposition|Return creature and object; protect recent returnees.|A mythic culmination of common return patterns.
243|Odyssey 10|Bind hostile winds; store their force; release them unwisely.|Control becoming regret / displacement|Accumulate counters; bounce many objects; self-setback at scale.|This object shows stored power; the Saga should show the crew's disastrous choice.
244|Odyssey 5 and 24|Touch with the wand; induce sleep or wakefulness; guide between states.|Quiet authority / evasion|Tap or untap; let a hero slip briefly from reach.|The wand's sleep/wake association is stronger than a vague Books X–XI tag.
245|Odyssey 2, 19 and 24; imagined song|Sing the long delay; test the return; preserve the household.|Admiration / patient resistance|Foresight; investigate; restore and protect resources.|Imagined performance; GU hears intelligence or continuity. Distinguish Agamemnon's praise in Book 24 from an attested full song.
246|Odyssey 12|Eat sacred cattle; hear the demand for justice; lose the ship to Zeus's bolt.|Retribution / devastation|Board-clearing damage; ships destroyed; transgression amplifies punishment.|Name can invoke Helios's demand, but the source note must credit Zeus with the thunderbolt.
247|Odyssey 5; time interpretation|Hide on the island; accept prolonged comfort; postpone the next life.|Temptation / suspension|Commit a creature to waiting; earn an unknown future card.|Original time metaphor; do not claim literal time travel in Homer.
248|Later Siren reception; interpretation|See seductive beauty; approach willingly; lose the will to leave.|Desire / compulsion|Multiple forced attackers; consume memory and gain life.|Exact reception work remains to be selected. Do not attribute wings or seductive anatomy to Homer.
249|Odyssey 5–13; synthesis|Choose a route; act on a possibility; travel; begin again.|Persistence / uncertainty|Three different journey actions produce a new hidden possibility.|Uses journey counters despite prior preference for established counter types; evaluate whether quest counters suffice.
250|Odyssey 9–13; synthesis|Muster the crew; choose a shore; land and reveal the travellers.|Shared endurance / unpredictable arrival|Attack manifests; delayed return after Survival.|Mythic ship connects travel and recognition while preserving the crew's work timing.
274|Odyssey 5; reception interpretation|Offer refuge; reward staying; make leaving emotionally costly.|Comfort / captivity|Nonattack reward; return another creature to strengthen the keeper.|Do not present the captive's compliance as freely chosen romance in Homer's version.
275|Odyssey 2 and 19; object interpretation|Work threads; undo a passage; reuse material for another telling.|Persistence / frustration|Discard becomes thread; recover a spell or enchantment.|Keep as a legendary object in the Penelope family, explicitly not an uncommon character portrayal.
276|Odyssey 17|Lean on the staff; enter unnoticed; inspect the palace.|Vulnerability concealing purpose / uncertainty|Cheap equipment; modest protection; information after a successful approach.|Disguise prop rather than the bow's heroic authority.
277|Ancient craft; extension|Load the kiln; fire the vessels; put new work to use.|Energy / immediate pressure|Artifact entry grants haste and power.|Invented everyday scene; keep separate from literal destructive fire.
278|Ancient navigation; extension|Light a headland fire; guide ships; expose a passage.|Reassurance / approach|Vehicle attacks provide foresight; menace opens travel.|A plausible maritime extension, not an attested Odyssey signal-fire episode.
280|Odyssey 11–12|Approach the dead; hear the owed duty; return with memory.|Dread becoming obligation / persistence|Survival growth; surveil then recover a creature.|A trial of listening and return, not victory over Hades.
281|Odyssey 1–2; household interpretation|Consume reserves; remove choices; leave a depleted house.|Entitlement / scarcity|Discard two; existing material wealth softens the cost.|Keep distinct from the targeted coercion of Suitor's Extortion.
282|Odyssey 12|Accept the lesser danger; keep rowing; reach water beyond the monsters.|Fear and resolve / narrow escape|Survival growth; temporary access to a next action.|No implication that Odysseus defeats either monster in combat.
283|Ancient craft; extension|Pierce the hide; stitch the work; improve it by inspection.|Patience / incremental advantage|Equipment rewards tapping with paid foresight.|Ordinary tool, not a named magic relic.
284|Ancient seamanship; extension|Read reefs; choose the channel; guide a vulnerable vessel.|Expert confidence / blocked interception|Crewing gives foresight and protection.|Keep as the more specialised upgrade to a common sailor.
285|Odyssey 24; agriculture extension|Repair terraces; reclaim lost ground; make cultivation possible.|Restoration / persistence|Land recovery on entry.|Immediate recovery distinguishes it from the common Survival worker.
286|Iliad 18–22|Accept the shortened life; return to battle; turn grief into glory.|Fury / terror|Large first-striking attacker; draw strength from the dead.|The dying-fate heroic version differs from Miller's paired emotional portrayal.
287|Tennyson, Ulysses|Reject idle kingship; summon old companions; seek another horizon.|Restlessness / relentless pressure|Attack grants transient options; using them increases momentum.|A later poem's onward drive, deliberately unlike Homer's homecoming resolution.
288|Odyssey 1–2 and 12; appetite pattern|Consume more; obtain an immediate opportunity; pay after the feast.|Temptation / attrition|Sacrifice for impulse cards; delayed life loss.|The cost should remain visible so excess is not simply pure advantage.
289|Homeric simile; extension|Build strength; surge forward; overwhelm resistance like fire.|Fury / alarm|Big creatures trample; an attack starts a fight.|A cross-archetype force engine, not a literal wildfire scene.
290|Odyssey 14 and 24; household pattern|Work; support a neighbour; keep the house functioning.|Solidarity / durable resistance|Tapped labour grows a creature; enchantments restore readiness.|An untap trigger can suppress Survival if used before it resolves; sequencing must be taught.
291|Odyssey 14; oath interpretation|Promise a return; keep faith through absence; recover what was owed.|Fidelity / consequence|Returns drain life; paid recovery fulfils the promise.|Existing rare can house oath flavour without requiring a fresh five-card cycle.
292|Margaret Atwood, The Penelopiad|Speak from beyond death; retell the marriage; confront the maids' fate.|Bitter agency / discomfort|Create a household chorus; losses provoke new narration.|Do not reduce the maids to disposable fuel without acknowledging the retelling's accusation.
293|Iliad 6 and 22|Defend the city; stand for the family; face the superior attacker.|Duty / tragic resolve|Vigilance; support attacking allies; keep a defender ready.|Hector's defence should remain visible beneath the red-white aggression.
294|Odyssey 4; later reception synthesis|Tell a memory; have it contested; let repeated versions alter judgment.|Ambiguity / fascination|Legends prompt foresight; repeated scrutiny yields a card.|Exact later reception source remains to be chosen; avoid claiming one canonical motive.
295|Odyssey 5; seamanship composite|Watch conditions; choose a route; learn through passage.|Competence / uncertainty|Exile spells scry; successful ship attacks loot.|The UR rare connects navigation systems rather than adding a seventh mechanic.
296|Apollodorus Epitome 7.35|Receive the wandering king; rule amid war; leave him to return after her death.|Command / precarious continuity|Attack beside a hero; lend protection.|This is a post-Odyssey tradition, not a missing Homeric queen.
297|Odyssey 11 and 24; memory pattern|Disturb the earth; recover an old trace; make memory usable again.|Reverence / accumulating pressure|Graveyard departures store value; value recovers a permanent.|A deliberate resource cycle needs finite costs, not automatic self-fuelling loops.
298|Odyssey 12; crew composite|Take the benches; coordinate effort; welcome another hand aboard.|Solidarity / growing momentum|Crewing grows a worker; a completed attack recruits a sailor.|The RW rare must build on sufficient cheap bodies, not just more Vehicles.
299|Odyssey 9–12; exploration metaphor|Leave a possible route behind; land somewhere unknown; make it productive.|Wonder / uncertainty|Hidden bodies provide mana; manifestation enables land deployment.|An original mechanical metaphor; do not claim the poem's strangers literally become mana sources.
300|Odyssey 22; moral reckoning|Name the abused obligation; confront its beneficiary; exact repayment.|Judgment / dread|Removal; stored Food or Treasure creates an additional penalty.|Keep context specific so every ordinary guest does not appear guilty merely for owning Food.
301|Ancient seamanship; extension|Match the stroke; keep the cadence; turn work into movement and supplies.|Collective pride / steady pressure|Two workers produce Treasure; crew participation matters.|Power after crewing may arrive too late to help the ship; test what the boost actually does.
302|Odyssey 23–24; rooted-home metaphor|Work the ground; expand the holding; sustain the household.|Belonging / persistence|Land plus tapped labour produces knowledge.|The land-and-worker engine should stay distinct from the immortal tree or bed relic.
303|Odyssey 19|Use inherited cunning; take what others possess; pass a craft of deception onward.|Audacity / violation|A successful hit steals access to an opponent's future.|Book 19 names Autolycus's skill; detailed magical theft belongs to wider traditions.
304|Apollodorus Epitome 7.36|Learn the father's name; sail in search; arrive without recognition.|Hope / tragic uncertainty|Search and manifest; protect the unknown travellers.|The voyage begins in desire for kinship, distinct from the fatal raid card.
305|Apollodorus Epitome 7.36–37|Raid unfamiliar Ithaca; meet resistance; wound the unrecognised father.|Misrecognition / horror|Divided damage; a legendary casualty supplies painful knowledge.|A direct person-specific tragedy, not a generic naval skirmish.
306|Odyssey 8 and 24; reception concept|Perform the tale; lose the performer; keep the memory in circulation.|Continuity / grief|Sagas and legends set up knowledge; their departure yields a card.|The storyteller's legacy differs from the hero's active pursuit of renown.
307|Odyssey 24; agriculture extension|Terrace the slope; tend olives; harvest stored food.|Patience / endurance|Land becomes a recurring Food source at a mana cost.|A working landscape; preserve colourless production unless a slot decision changes it.
308|Odyssey 13|Recognise shared cunning; exchange plans; construct the return together.|Mutual delight / uncertainty|Create hidden possibilities; revealed plans filter information.|The paired alliance expresses intellectual kinship rather than romance.
309|Odyssey 1, 9 and 14; divine-social concept|Witness oaths; protect strangers' rights; sanction violation.|Authority / accountability|Devotion embodiment; attacking the protected house incurs a cost.|Retaliation is a broad game abstraction; Zeus is not guaranteed to rescue every righteous guest immediately.
